"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","location","language","profileImageURL"
"945","Musk and amazon doing big things, should be an interesting next couple of years. #BlueOrgin #SquakBox #AmazonGo",FALSE,0,NA,2016-12-12 11:59:53,FALSE,NA,"808280208474259457",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Solis_Wheeler",0,FALSE,FALSE,NA,NA,"San Antonio, TX","en","http://pbs.twimg.com/profile_images/805694587855634432/IfVwKXGU_normal.jpg"
"946","Redefining the shopping experience. I could do with no lines and no checkouts #amazongo https://t.co/IRLMEq3csP https://t.co/cyd0Xd9AGB",FALSE,0,NA,2016-12-12 11:52:22,FALSE,NA,"808278315366629377",NA,"<a href=""http://dynamicsignal.com/"" rel=""nofollow"">VoiceStorm</a>","vicento2001",0,FALSE,FALSE,NA,NA,"Dubai, United Arab Emirates","en","http://pbs.twimg.com/profile_images/795934909869199361/VZaDQ0rX_normal.jpg"
"947","A really interesting analysis! ~ Amazon Go: We're All F*cked https://t.co/ojf41Cvx0i #amazongo #marketing #ecommerce https://t.co/bAg0fu9pKr",FALSE,1,NA,2016-12-12 11:40:01,FALSE,NA,"808275208532623361",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Roberts_Ben_M",0,FALSE,FALSE,NA,NA,"United Kingdom","en","http://pbs.twimg.com/profile_images/667709332906209280/LksOMsgG_normal.jpg"
"948","Amazon registers Amazon Go trademark in the UK https://t.co/PZAYhHVSAK by @Tele_Scott #AmazonGo #Trademark #IP",FALSE,2,NA,2016-12-12 11:37:00,FALSE,NA,"808274448893755392",NA,"<a href=""http://www.hubspot.com/"" rel=""nofollow"">HubSpot</a>","TrademarkNow",0,FALSE,FALSE,NA,NA,"Global","en","http://pbs.twimg.com/profile_images/793404956636246018/b91DfN1m_normal.jpg"
"949","RT @DrGailB: #AmazonGo: Experimenting Really Does Matter - Really hope it works - Investor Roger McNamee @Moonalice on @CNBC https://t.co/B…",FALSE,0,NA,2016-12-12 11:33:31,FALSE,NA,"808273573081206784",NA,"<a href=""https://copromote.com/"" rel=""nofollow"">CoPromote</a>","iyayetunde1",31,TRUE,FALSE,NA,NA,"London, England","en-gb","http://pbs.twimg.com/profile_images/766499958224740352/inzoUv-v_normal.jpg"
"950","RT @amazon: Introducing #AmazonGo, a new kind of store with no lines and no checkout. https://t.co/WMii0bWevi https://t.co/OmZdzobA5F",FALSE,0,NA,2016-12-12 11:27:01,FALSE,NA,"808271936740622336",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","aylinsrngl",21839,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/808560026684129281/Ojh8aOfI_normal.jpg"
"951","@Amazon 1st #company to bring the product management skills common to #techstartups to a real retail store #amazongo https://t.co/v9NwmiZObl",FALSE,0,"amazon",2016-12-12 11:24:38,FALSE,NA,"808271339454918656","20793816","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","anna_dsantos",0,FALSE,FALSE,NA,NA,"Madrid, Espagne","fr","http://pbs.twimg.com/profile_images/687210489747746816/9m99rYzW_normal.jpg"
"952","#video Introducing #AmazonGo and the world’s most advanced shopping technology https://t.co/oMjfDOfzmN #future #internet",FALSE,0,NA,2016-12-12 11:20:01,FALSE,NA,"808270173824315392",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","vincentmiccolis",0,FALSE,FALSE,NA,NA,"Italy","it","http://pbs.twimg.com/profile_images/2459094304/d6rik7gjhbttk8uxhjpu_normal.png"
"953","RT pymnts ""#AmazonGo has experts saying it will reinvent the checkout experience. KarenMPD thinks it will do more.… https://t.co/iCglkyWrm8""",FALSE,0,NA,2016-12-12 11:09:13,FALSE,NA,"808267459644063744",NA,"<a href=""http://ifttt.com"" rel=""nofollow"">IFTTT</a>","1111Tony",0,FALSE,FALSE,NA,NA,"Seattle Washington","en","http://pbs.twimg.com/profile_images/784763792424968194/ACeHweqS_normal.jpg"
"954","#AmazonGo has experts saying it will reinvent the checkout experience. @KarenMPD thinks it will do more. Details: https://t.co/kV6yJUBOys",FALSE,0,NA,2016-12-12 11:05:11,FALSE,NA,"808266441589932032",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","pymnts",0,FALSE,FALSE,NA,NA,"Boston, MA","en","http://pbs.twimg.com/profile_images/771010634532225024/Xnv9mtA5_normal.jpg"
"955","RT @SilvanFox: Excellent read by  @DuenaBlomstrom

#AmazonGo &amp; Contactless – How invisible #payments &amp; #banks not doing their job
 https://…",FALSE,0,NA,2016-12-12 11:05:06,FALSE,NA,"808266423202103296",NA,"<a href=""https://roundteam.co"" rel=""nofollow"">RoundTeam</a>","kingofpayments",1,TRUE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/599396989411831808/zR27Xs-__normal.png"
"956","Amazon Go checkoutless stores move a step closer to the UK high street. #Amazon #AmazonGo… https://t.co/rz49tic762 https://t.co/EiGQFCg3Pv",FALSE,0,NA,2016-12-12 11:04:52,FALSE,NA,"808266362405720064",NA,"<a href=""https://friendsplus.me"" rel=""nofollow"">Friends Me</a>","ZiPpYUK",0,FALSE,FALSE,NA,NA,"Kettering, UK","en","http://pbs.twimg.com/profile_images/706813477583785984/DaPGPB_T_normal.jpg"
"957","#AmazonGo expanding to #UK with cashier free stores #CMTV #News #LIVE @periscopeco 12pm https://t.co/qla0cJFQHE",FALSE,0,NA,2016-12-12 11:00:22,FALSE,NA,"808265230820249600",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","CloudMovesTV",0,FALSE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/658176981897494529/X9j2V22L_normal.jpg"
"958","The next logical step in retail store technology? Translating an online experience to physical stores #AmazonGo https://t.co/HWezaxfR2T",FALSE,0,NA,2016-12-12 10:54:46,FALSE,NA,"808263820284166144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BH_SMART",0,FALSE,FALSE,NA,NA,"UK, USA, Middle East, Asia,...","en","http://pbs.twimg.com/profile_images/486086230723940353/zK8N4U6U_normal.jpeg"
"959","Excellent read by  @DuenaBlomstrom

#AmazonGo &amp; Contactless – How invisible #payments &amp; #banks not doing their job… https://t.co/uFymXGUEkf",FALSE,0,NA,2016-12-12 10:53:01,TRUE,NA,"808263382235279360",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","SilvanFox",1,FALSE,FALSE,NA,NA,"Brussels, Belgium","en","http://pbs.twimg.com/profile_images/532874900906598401/GqzMKWwS_normal.jpeg"
"960","RT @drfeifei: An obvious yet brilliant application of computer vision! #AmazonGo is a new kind of store w/ no lines/checkout. https://t.co/…",FALSE,0,NA,2016-12-12 10:48:17,FALSE,NA,"808262190893449216",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","dayappreciator",63,TRUE,FALSE,NA,NA,"Australia","en","http://pbs.twimg.com/profile_images/808254783668617216/ZEruDiGT_normal.jpg"
"961","A window into how @amazon is looking to continually change the face of retail https://t.co/oKnF4eWuft #consumers #retail #AmazonGo",FALSE,0,NA,2016-12-12 10:41:01,FALSE,NA,"808260360922955776",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","tangiblebrand",0,FALSE,FALSE,NA,NA,"Windsor, Manchester","en","http://pbs.twimg.com/profile_images/806144952287850496/wvw6Ryg6_normal.jpg"
"962","A grocery store with no tills or queues #amazongo https://t.co/e07qLVSHVa",FALSE,1,NA,2016-12-12 10:39:18,FALSE,NA,"808259929215746051",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","sidavies_says",0,FALSE,FALSE,NA,NA,"London","en","http://pbs.twimg.com/profile_images/806237607025778688/OrNt4VjV_normal.jpg"
"963","Introducing #AmazonGo - Worlds most intelligent store using just walk out technology: simply grab and go https://t.co/CupVdRyH2j",FALSE,1,NA,2016-12-12 10:26:20,FALSE,NA,"808256663971098624",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","AnniHyokyvaara",0,FALSE,FALSE,NA,NA,"Helsinki, Suomi","fi","http://pbs.twimg.com/profile_images/794466203263700994/iZGMqRFz_normal.jpg"
"964","Is #AmazonGo the future for shopping? A #shoppingexperience with advanced tech means no lines and no checkout https://t.co/2EAXUbntGU",FALSE,0,NA,2016-12-12 10:25:09,FALSE,NA,"808256367689682944",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","shop_works",0,FALSE,FALSE,NA,NA,"London","en","http://pbs.twimg.com/profile_images/540265878/SW_Logo_S_normal.jpg"
"965","With @AmazonUK 's new concept of #Amazongo. What do you guys think of it? Tell us what you think.  https://t.co/8RAlm5G88G",FALSE,2,NA,2016-12-12 10:24:33,FALSE,NA,"808256218263416834",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ListSmart_io",3,FALSE,FALSE,NA,NA,"United Kingdom","en-gb","http://pbs.twimg.com/profile_images/717391581737783296/FLSP_b0Y_normal.jpg"
"966","RT @andreascseh: Almost as good as the Bundestag diaten hikes of 20-30% in few years ...supported by Bezos Amazing #AmazonGo tent city slav…",FALSE,0,NA,2016-12-12 10:21:43,FALSE,NA,"808255502572404737",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","notyourcountry",1,TRUE,FALSE,NA,NA,"Budapest, Hungary","en","http://pbs.twimg.com/profile_images/644097845818068992/PHIi32Pe_normal.png"
"967","RT @Tendenzeonline: Amazon Go. No lines, no checkout – just grab and go! https://t.co/myOUnB7V9d #amazongo #iot #barcode #GTINinside @gs1 @…",FALSE,0,NA,2016-12-12 10:20:44,FALSE,NA,"808255254806589440",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Acetob",3,TRUE,FALSE,NA,NA,"Milan","it","http://pbs.twimg.com/profile_images/1785690071/image_normal.jpg"
"968","RT @MissingATrick: .@BIUK Costco: shows what's the point of a great idea, if you just sit on it! #AmazonGo #CostcoGone? <ed><U+00A0><U+00BD><ed><U+00B8><U+0095>",FALSE,0,NA,2016-12-12 10:20:04,FALSE,NA,"808255086912765952",NA,"<a href=""http://www.twitter.com"" rel=""nofollow"">Twitter for Windows Phone</a>","marciaj64",1,TRUE,FALSE,NA,NA,"Taunton Somerset ","en","http://pbs.twimg.com/profile_images/527146187577905152/O1d3GU6n_normal.jpeg"
"969","Excellent read by  @DuenaBlomstrom

#AmazonGo &amp; Contactless – How invisible #payments &amp; #banks not doing their job… https://t.co/OQOXj5cN7Y",FALSE,6,NA,2016-12-12 10:17:02,TRUE,NA,"808254325021675521",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","Swanest_",0,FALSE,FALSE,NA,NA,"London, England","en","http://pbs.twimg.com/profile_images/801327019296428032/sLUSeO57_normal.jpg"
"970","Is the #AmazonGo launch the beginning of a #retail revolution to bring consumers back to the #HighStreet? #PropTech https://t.co/QeyWKNRnj0",FALSE,1,NA,2016-12-12 10:16:17,FALSE,NA,"808254138756767748",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","CR_Tweets",0,FALSE,FALSE,NA,NA,"","en","http://pbs.twimg.com/profile_images/768098184262549504/UOnv9mbc_normal.jpg"
"971","RT @PlanetRetail: What's the technology behind #amazongo and what does it mean for the #retail industry? #prdebates https://t.co/voutg2qlix…",FALSE,0,NA,2016-12-12 10:15:58,FALSE,NA,"808254057831890944",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Brand_Spots",3,TRUE,FALSE,NA,NA,"Europe","en-gb","http://pbs.twimg.com/profile_images/656382525766520832/vDf03v7c_normal.jpg"
"972","RT @snagdit: Wow! This is going to be a game changer. Exciting stuff! @amazon #AmazonGo #MondayMotivation https://t.co/oK40XZ6BNo",FALSE,0,NA,2016-12-12 10:11:56,FALSE,NA,"808253043745636353",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Dmosscycles7",8,TRUE,FALSE,NA,NA,"United States","en","http://pbs.twimg.com/profile_images/751617180647686145/Sm3bflqD_normal.jpg"
"973","Almost as good as the Bundestag diaten hikes of 20-30% in few years ...supported by Bezos Amazing #AmazonGo tent ci… https://t.co/qErbcdfT8w",FALSE,2,NA,2016-12-12 10:11:12,TRUE,NA,"808252857929506816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","andreascseh",1,FALSE,FALSE,NA,NA,"Budapest, Hong Kong, Yangon","en","http://pbs.twimg.com/profile_images/378800000774067942/b9d3d12e3eaf41d9ded5745b4f419902_normal.jpeg"
"974","#AmazonGo and the #futureofwork https://t.co/AN44Sa7shN",FALSE,1,NA,2016-12-12 10:10:45,FALSE,NA,"808252743563571200",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","davidrivier",0,FALSE,FALSE,NA,NA,"LDN & Mountains","en","http://pbs.twimg.com/profile_images/600781275423744000/MkWcRJrT_normal.jpg"
"975","New shopping by #AmazonGo 
 https://t.co/6QQlIzY0OQ via @YouTube",FALSE,0,NA,2016-12-12 10:09:40,FALSE,NA,"808252471676178432",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","BarbaraHuntV",0,FALSE,FALSE,NA,NA,"Ljubljana, Slovenia","en","http://pbs.twimg.com/profile_images/775673439252340736/MmEhf3Ev_normal.jpg"
